Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
BABY,BABY WIPES,0.83430,2022-01-18 00:00:00
BABY,BABY WIPES,0.80420,2022-01-19 00:00:00
BABY,BABY WIPES,0.26100,2022-01-20 00:00:00
BABY,BABY WIPES,1.92330,2022-01-21 00:00:00
BABY,BABY WIPES,0.61370,2022-01-22 00:00:00
BABY,BABY WIPES,0.91910,2022-01-24 00:00:00
BABY,BABY WIPES,0.34620,2022-01-25 00:00:00
BABY,BABY WIPES,1.62520,2022-01-26 00:00:00
BABY,BABY WIPES,0.33790,2022-01-27 00:00:00
BABY,BABY WIPES,1.74330,2022-01-28 00:00:00
BABY,BABY WIPES,0.29400,2022-01-29 00:00:00
BABY,BABY WIPES,0.86170,2022-01-31 00:00:00
BABY,BABY WIPES,0.45040,2022-02-01 00:00:00
BABY,BABY WIPES,2.51780,2022-02-02 00:00:00
BABY,BABY WIPES,0.46180,2022-02-03 00:00:00
BABY,BABY WIPES,2.29440,2022-02-04 00:00:00
BABY,BABY WIPES,0.57440,2022-02-05 00:00:00
BABY,BABY WIPES,0.86380,2022-02-07 00:00:00
BABY,BABY WIPES,0.33790,2022-02-08 00:00:00
BABY,BABY WIPES,2.00310,2022-02-09 00:00:00
BABY,BABY WIPES,0.98510,2022-02-10 00:00:00
BABY,BABY WIPES,1.56220,2022-02-11 00:00:00
BABY,BABY WIPES,0.25380,2022-02-12 00:00:00
BABY,BABY WIPES,0.36310,2022-02-14 00:00:00
BABY,BABY WIPES,0.87380,2022-02-15 00:00:00
BABY,BABY WIPES,2.01370,2022-02-16 00:00:00
BABY,BABY WIPES,0.29840,2022-02-17 00:00:00
BABY,BABY WIPES,1.74800,2022-02-18 00:00:00
BABY,BABY WIPES,0.87780,2022-02-21 00:00:00
BABY,BABY WIPES,0.50970,2022-02-22 00:00:00
BABY,BABY WIPES,0.78690,2022-02-23 00:00:00
BABY,BABY WIPES,0.38280,2022-02-24 00:00:00
BABY,BABY WIPES,1.39950,2022-02-25 00:00:00
BABY,BABY WIPES,0.14140,2022-02-28 00:00:00
