"Sub Sector","Category","Shipment MSU Internal","Date"
"GROOMING","HAIR CARE APPLIANCE",-0.006,"2021-07"
"GROOMING","MALE DISPOSABL RAZOR",36.1217,"2021-07"
"GROOMING","MALE HAIR REMV APPLN",2.139,"2021-07"
"GROOMING","MALE OT SYSDBL EDGE",0.4499,"2021-07"
"GROOMING","MALE PREMIUM B&R SYS",19.180799999999998,"2021-07"
"GROOMING","MALE SHAVE PREP",3.8001000000000005,"2021-07"
"GROOMING","MALE SKIN CARE",0.0535,"2021-07"
"HAIR CARE","AUSSIE",0.5693999999999999,"2021-07"
"HAIR CARE","BEAR FRUITS",0.0041,"2021-07"
"HAIR CARE","H&S",42.696400000000004,"2021-07"
"HAIR CARE","HERBAL ESSENCES",13.2975,"2021-07"
"HAIR CARE","MODEST EGO",0.0007,"2021-07"
"HAIR CARE","PANTENE",85.56280000000002,"2021-07"
"HOME CARE","AIR CARE",11.091300000000002,"2021-07"
"HOME CARE","CLEANING PRODUCTS",23.0368,"2021-07"
"HOME CARE","CLEANING SYSTEMS",1.2467000000000001,"2021-07"
"ORAL CARE","DENTAL FLOSS",0.5531,"2021-07"
"ORAL CARE","DENTIFRICE",5.6387,"2021-07"
"ORAL CARE","DENTURE CARE",0.5219,"2021-07"
"ORAL CARE","MANUAL ORAL CARE",1.1648,"2021-07"
"ORAL CARE","ORAL RINSE",0.4159,"2021-07"
"ORAL CARE","POWER ORAL CARE",5.909300000000001,"2021-07"
"PERSONAL CARE","APDO & BODY SPRAY",2.0231,"2021-07"
"PERSONAL CARE","MASS FRAGRANCE",0.1812,"2021-07"
"PERSONAL CARE","PERSONAL CLEANSING",0.1742,"2021-07"
"PHC CARE","SLEEP AID",0.5284,"2021-07"
"SKIN CARE","FEMALE SKIN CARE",3.3786000000000005,"2021-07"
"BABY CARE","BABY WIPES",41.784600000000005,"2021-08"
"BABY CARE","DIAPER",75.66969999999999,"2021-08"
"DISH WASHING","ADW",20.735200000000003,"2021-08"
"DISH WASHING","HDW",36.171299999999995,"2021-08"
"FABRIC CARE","FABRIC ENHANCER",1.6676,"2021-08"
"FABRIC CARE","LAUNDRY",163.42920000000004,"2021-08"
"FEMININE CARE","INCO",2.4643999999999995,"2021-08"
"FEMININE CARE","LINERS",15.620999999999999,"2021-08"
"FEMININE CARE","PADS",25.176800000000004,"2021-08"
"FEMININE CARE","TAMPONS",13.9835,"2021-08"
"GROOMING","FEMALE DISPOSABL RAZ",4.3829,"2021-08"
"GROOMING","FEMALE HR RMVL APPLN",2.223,"2021-08"
"GROOMING","FEMALE PREM B&R SYS",6.25,"2021-08"
"GROOMING","FEMALE SHAVE PREP",0.0664,"2021-08"
"GROOMING","HAIR CARE APPLIANCE",-0.009000000000000001,"2021-08"
"GROOMING","MALE DISPOSABL RAZOR",35.6903,"2021-08"
"GROOMING","MALE HAIR REMV APPLN",2.6498000000000004,"2021-08"
"GROOMING","MALE OT SYSDBL EDGE",0.3434,"2021-08"
"GROOMING","MALE PREMIUM B&R SYS",23.149099999999997,"2021-08"
"GROOMING","MALE SHAVE PREP",3.8699,"2021-08"
"GROOMING","MALE SKIN CARE",0.17980000000000002,"2021-08"
"HAIR CARE","AUSSIE",1.5095999999999998,"2021-08"
"HAIR CARE","BEAR FRUITS",0.039,"2021-08"
"HAIR CARE","H&S",43.984199999999994,"2021-08"
"HAIR CARE","HERBAL ESSENCES",4.1469,"2021-08"
"HAIR CARE","MODEST EGO",0.0015999999999999999,"2021-08"
"HAIR CARE","PANTENE",80.17069999999994,"2021-08"
"HOME CARE","AIR CARE",10.252600000000001,"2021-08"
"HOME CARE","CLEANING PRODUCTS",14.3674,"2021-08"
"HOME CARE","CLEANING SYSTEMS",3.4268000000000005,"2021-08"
"ORAL CARE","DENTAL FLOSS",0.6689,"2021-08"
"ORAL CARE","DENTIFRICE",4.5899,"2021-08"
"ORAL CARE","DENTURE CARE",0.3784,"2021-08"
"ORAL CARE","MANUAL ORAL CARE",1.3507,"2021-08"
"ORAL CARE","ORAL RINSE",0.7551,"2021-08"
"ORAL CARE","POWER ORAL CARE",9.626099999999997,"2021-08"
